tweet_id,text,favorite_count,retweet_count,created_at
1515740566486724622,Power show of PTI KarachiJalsa ImportedGovtNotAcceptable,1,0,Sun Apr 17 17:14:46 +0000 2022
1515740533452378124,Showbiz personalities Syra Yousuf and Feroze Khan at the KarachiJalsa,0,0,Sun Apr 17 17:14:38 +0000 2022
1515740490271973382,Bajwa SupremeCourtofpakistanKarachiJalsaLahore,0,0,Sun Apr 17 17:14:28 +0000 2022
1515740285753565189,Imran Khan is not just ruler but our leader He lives in our hearts He is loved by us No one can separate Imran K,2,4,Sun Apr 17 17:13:39 +0000 2022
1515740233148825600,Heart touching just listen this I never saw a leader like him who care about his nation more than his life no on,0,0,Sun Apr 17 17:13:27 +0000 2022
1515740204082286592,Trend is still on 915april 349M 3crore 49 lac 16april to till today 201M 2crore and total is 55M I,2,4,Sun Apr 17 17:13:20 +0000 2022
1515740063950417926,PROUD OF MY NATION HERO COAS KarachiJalsa,1,0,Sun Apr 17 17:12:46 +0000 2022
1515739939140472835,Trust metoday karachities came up with really creative sign boards Lota amirliaquat KarachiJalsa,0,0,Sun Apr 17 17:12:17 +0000 2022
1515739934656712705,Picture worth a thousand words Simply iconicKarachiJalsaPTI KarachiJalsa Karachi KaptaanImranKhan,54,15,Sun Apr 17 17:12:16 +0000 2022
1515739916738744334,KarachiJalsaOver 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan call,0,0,Sun Apr 17 17:12:11 +0000 2022
1515739827009957898,Captain Arzoo Spotted KarachiJalsa,0,0,Sun Apr 17 17:11:50 +0000 2022
1515739546268442627,Feeling proud to cover ImranKhanPTI entry moment at KarachiJalsa,0,0,Sun Apr 17 17:10:43 +0000 2022
1515739545588936719,Bajwa warns conspirators saying Army draws its strength from ppl and any effort to create wedge bw army and pop,0,0,Sun Apr 17 17:10:43 +0000 2022
1515739357902123013,COAS said Hopefully we are moving towards the next general elections which will be free and fair and it seems th,0,0,Sun Apr 17 17:09:58 +0000 2022
1515739290948493317,Nation demands Supreme Court to Open Court on Sunday and Midnight for common people as well KarachiJalsa,0,0,Sun Apr 17 17:09:42 +0000 2022
1515739228424052736,Replaying video clips from KarachiJalsaShukriya Karachi imrankhanandawamaiksath ImranKhanZindabad,0,0,Sun Apr 17 17:09:27 +0000 2022
1515739055643836421,Over 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan call One thing to be noted here that no ATM,0,0,Sun Apr 17 17:08:46 +0000 2022
1515738817159909381,Sad Reality Karachi KarachiJalsa,1,0,Sun Apr 17 17:07:49 +0000 2022
1515738816174182411,17 April 2022 Updates 1 Deadlock in formation of Federal Cabinet by Imported Govt2 Shahbaz Sharif visited Dia,0,0,Sun Apr 17 17:07:49 +0000 2022
1515738792543637511,new style KarachiJalsa Karachi,2,0,Sun Apr 17 17:07:43 +0000 2022
1515738761635762183,Promoting this trend is a national cause I pray may it go on top again from 3rd position in trending list alth,0,0,Sun Apr 17 17:07:36 +0000 2022
1515738555225714689,karachities rocked KarachiJalsa KarachiJalsaPTI,3,3,Sun Apr 17 17:06:47 +0000 2022
1515738490557841411,Saad AhmedsahmedPTI5hFeeling proud to cover ImranKhanPTI entry moment at KarachiJalsa,0,0,Sun Apr 17 17:06:31 +0000 2022
1515738473172385794,Well Educated Peoples of PTI imrankhanPTI HamidMir KarachiJalsa Karachi,0,0,Sun Apr 17 17:06:27 +0000 2022
1515738375965261824,Joke apart I pay core heart tribute and salam to the unconditional tireless dedicated efforts and co,22,20,Sun Apr 17 17:06:04 +0000 2022
1515738291873542145,Feeling proud to cover ImranKhanPTI entry moment at KarachiJalsa,0,0,Sun Apr 17 17:05:44 +0000 2022
1515738244021121024,Stand up for imrankhanPTI its alarming situation tigers let put it back to millions Kaptan is fighting fo,3,3,Sun Apr 17 17:05:33 +0000 2022
1515738217638629378,Post of the day KarachiJalsaKarachiKarachiJalsaPTI,0,0,Sun Apr 17 17:05:26 +0000 2022
1515737384314417156,What more do you want from a leader KarachiJalsa Chairman pakistan Tehreekeinsaf PTI,0,0,Sun Apr 17 17:02:08 +0000 2022
1515737175085793286,I need your support to raise voice of Pakistan amp PTI through POPUP HEADLINES news network I will follow every PTI,0,0,Sun Apr 17 17:01:18 +0000 2022
1515736935318564870,Ufff this brought tears to my eyes Mere Rasul SAWW k dou bahadur sipaahi Allah Quaid e Azam ko jannat ul fir,3,1,Sun Apr 17 17:00:21 +0000 2022
1515736851696349187,Former Prime Minister Imran Khan lashes out at Shehbaz Sharif for his disgraceful remarks regarding slavery,1,2,Sun Apr 17 17:00:01 +0000 2022
1515736765570887680,PTIofficial Ufff this brought tears to my eyes Mere Rasul SAWW k dou bahadur sipaahi Allah Quaid e Azam ko,0,0,Sun Apr 17 16:59:40 +0000 2022
1515736632632438787,Over 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan callBajwa,1,1,Sun Apr 17 16:59:08 +0000 2022
1515736460984528899,Today once againpeople have taken suo moto action against imported governmentToday there was a Jalsa not only i,2,1,Sun Apr 17 16:58:27 +0000 2022
1515736326531960836,COAS said Hopefully we are moving towards the next general elections which will be free and fair and it seems th,1,3,Sun Apr 17 16:57:55 +0000 2022
1515736230520143874,It was Bajwa that set IK up Now the shit has hit the fan Bajwa is going for early election He was behind imran al,0,0,Sun Apr 17 16:57:33 +0000 2022
1515736036055392257,DG ISPR Wake up Pakistan is under threat Are you blind We will never forgive you if Pakistan is exposed to Amer,0,0,Sun Apr 17 16:56:46 +0000 2022
1515735689383530502,Donald Lu American Ambassador amp its Regime changer Team in Pakistan,0,0,Sun Apr 17 16:55:24 +0000 2022
1515735529333182465,Nothing short of a soulful regeneration the nation is going through There wont be any compromise on national dign,0,0,Sun Apr 17 16:54:45 +0000 2022
1515735454527762436,Donald Lu American Ambassador amp its Regime changer Team in Pakistan,0,0,Sun Apr 17 16:54:28 +0000 2022
1515735407631253515,Imran Khan I will never bow to a worldly forceKarachiJalsa,1,2,Sun Apr 17 16:54:16 +0000 2022
1515735358780198915,Imran Khan has given independence of Pakistan more importance than his own life This is why we are always with him,1,2,Sun Apr 17 16:54:05 +0000 2022
1515735353856241664,Follow for FollowKarachiJalsa followback BehindYouSkipper Punjab,0,0,Sun Apr 17 16:54:04 +0000 2022
1515735346096447494,She nailed it KarachiJalsa AnamtaPTI Fabi640s NeelGagankpar Jutt0412,7,7,Sun Apr 17 16:54:02 +0000 2022
1515735304245809158,KarachiJalsaOver 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan call,2,3,Sun Apr 17 16:53:52 +0000 2022
1515735301834035201,Imran Khan has given independence of Pakistan more importance than his own life This is why we are always with him,30,58,Sun Apr 17 16:53:51 +0000 2022
1515735248956395524,Well Educated Peoples of PTI This happens when workers are brought on rent,2,2,Sun Apr 17 16:53:39 +0000 2022
1515734975466909701,Be is back from London But how with out a diplomatic passport KarachiJalsa,0,1,Sun Apr 17 16:52:33 +0000 2022
1515734553494700039,Humor and playcard level of Pakistanis is unmatched KarachiJalsaKarachiJalsaPTI,0,1,Sun Apr 17 16:50:53 +0000 2022
1515734297294127112,Feeling proud to cover ImranKhanPTI entry moment at KarachiJalsa,1,0,Sun Apr 17 16:49:52 +0000 2022
1515733830249984010,Showbiz personalities Syra Yousuf and Feroze Khan at the KarachiJalsa,1,3,Sun Apr 17 16:48:00 +0000 2022
1515733576804966400,So true KarachiJalsa,1,1,Sun Apr 17 16:47:00 +0000 2022
1515733426502045703,Feeling proud to cover ImranKhanPTI entry moment at KarachiJalsa,2,2,Sun Apr 17 16:46:24 +0000 2022
1515733208129748997,KarachiJalsa simply brilliant,2,1,Sun Apr 17 16:45:32 +0000 2022
1515733070703325186,Who do you support Behind you skipper Always and forever KarachiJalsa,2,3,Sun Apr 17 16:44:59 +0000 2022
1515733000717283328,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:44:42 +0000 2022
1515732962712637450,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,1,0,Sun Apr 17 16:44:33 +0000 2022
1515732922233462792,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:44:24 +0000 2022
1515732899307397127,I remember my early days of learning uiuxdesign just like yesterday and my joy knew no bounds when I got my first,0,0,Sun Apr 17 16:44:18 +0000 2022
1515732877589508096,Our heroKarachiJalsaKarachiImranKhanPakistanLovesImranKhan,2,2,Sun Apr 17 16:44:13 +0000 2022
1515732745103810565,What a heart warming welcome karachiImranKhanPrimeMinister KarachiJalsa,2,1,Sun Apr 17 16:43:42 +0000 2022
1515732729689739271,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:43:38 +0000 2022
1515732698618343431,Donald Lu American Ambassador amp its Regime changer Team,1,0,Sun Apr 17 16:43:30 +0000 2022
1515732682587652096,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:43:27 +0000 2022
1515732625742344198,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:43:13 +0000 2022
1515732541793357827,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:42:53 +0000 2022
1515732482997600263,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:42:39 +0000 2022
1515732455067684881,KarachiJalsaOver 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan call,2,4,Sun Apr 17 16:42:32 +0000 2022
1515732384615915526,Breaking News220 Millions of Pakistanis are looking where IMRAN KHAN is looking,1,1,Sun Apr 17 16:42:16 +0000 2022
1515732345697243140,People from all walks of life young and old men and women gathered at the Jinnah Jinnah venue to raise their voi,0,1,Sun Apr 17 16:42:06 +0000 2022
1515732329708376067,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:42:03 +0000 2022
1515732291078787077,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:41:53 +0000 2022
1515732251513962509,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:41:44 +0000 2022
1515732182337310721,Excellent work Bilal KarachiJalsa,686,453,Sun Apr 17 16:41:27 +0000 2022
1515732153572769792,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:41:21 +0000 2022
1515732108710486017,Im with you ImranKhanPTIKarachiJalsaLahoreJalsaWewantelection,0,0,Sun Apr 17 16:41:10 +0000 2022
1515731915172581377,I cant see the hastag in the trending panel wheres itKarachiKarachiJalsaimrankhanPTI,0,0,Sun Apr 17 16:40:24 +0000 2022
1515731888048066561,I salute all those who have participated in the imported government na manzoor trendKarachiJalsa,1,0,Sun Apr 17 16:40:17 +0000 2022
1515731866447396871,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:40:12 +0000 2022
1515731810784796684,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:39:59 +0000 2022
1515731807676911629,Great peopleKarachiJalsa,1,0,Sun Apr 17 16:39:58 +0000 2022
1515731774965432324,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:39:50 +0000 2022
1515731699119935494,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:39:32 +0000 2022
1515731670020030465,Thank you for choosing the wrong side deep message for neutralsKarachiJalsa,52,97,Sun Apr 17 16:39:25 +0000 2022
1515731639204298758,Every time KarachiJalsa PTI imrankhanPTI,2,2,Sun Apr 17 16:39:18 +0000 2022
1515731630597488647,Im with you ImranKhanPTIKarachiJalsaWewantelection,2,1,Sun Apr 17 16:39:16 +0000 2022
1515731544186691585,Waving flagsA sea of peopleMazareQuaidFull moonEverything was perfect last nightJaag utha hai saara wat,2,6,Sun Apr 17 16:38:55 +0000 2022
1515731511517057032,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:38:47 +0000 2022
1515731447776432128,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:38:32 +0000 2022
1515731443930042374,I salute all those who have participated in the imported government na manzoor trendKarachiJalsa,3,2,Sun Apr 17 16:38:31 +0000 2022
1515731430437011459,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:38:28 +0000 2022
1515731413970169857,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:38:24 +0000 2022
1515731384672960514,DrSadiaA a few of MQM folks already reached out to IK after yesterdays KarachiJalsa He refused to even talk t,0,0,Sun Apr 17 16:38:17 +0000 2022
1515731364393500680,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:38:12 +0000 2022
1515731259275816962,Seem like neutrals changing their decisions KarachiJalsa,1,1,Sun Apr 17 16:37:47 +0000 2022
1515731072230866952,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:37:03 +0000 2022
1515731036922994691,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:36:54 +0000 2022
1515730986159546373,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:36:42 +0000 2022
1515730829984608257,Im with you ImranKhanPTIKarachiJalsaWewantelection,1,0,Sun Apr 17 16:36:05 +0000 2022
1515730811819016196,Someone show this to DG ISI amp COAS General Bajawa that cute little innocent Pakistani kids sending LANAT on traitor,1,0,Sun Apr 17 16:36:01 +0000 2022
1515730791862620160,This is unbeatable Such a josh amp junoonGrandmother taking grandkids to KarachiJalsaArsalanGhummanYeh ha,4,3,Sun Apr 17 16:35:56 +0000 2022
1515730725256896516,Huge number of people came out in support of the ousted Prime Minister Imran KhanImranIsmailPTI ImranKhanPTI,0,0,Sun Apr 17 16:35:40 +0000 2022
1515730688422690820,Im with you ImranKhanPTIKarachiJalsaWewantelection,0,0,Sun Apr 17 16:35:31 +0000 2022
1515730668629594113,I salute all those who have participated in the imported government na manzoor trendImran khanKarachiJalsa,2,4,Sun Apr 17 16:35:26 +0000 2022
